summary;type;component;epic;assignee;storyPoints;versions;fixVersions;backendSubTasks;frontendSubTasks;requirementSubTasks;stdTestsSubTasks;automationSubTasks;labels
GDP-STD-0158 - NAVIGATE ALL USER MANAGER APPLICATIONS AS AN ADMINISTRATOR;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0159 - NAVIGATE ALL USER MANAGER APPLICATIONS AS AN NON-ADMINISTRATOR;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0160 - DARK THEME ON POLICIES APPLICATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0161 - DARK THEME ON EXTERNAL IDP(S) APPLICATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0163 - MODIFY THE PASSWORD POLICY;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0164 - MODIFY THE ACCOUNT LOCK POLICY;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0165 - ACCOUNT LOCK POLICY: NUMBER OF ALLOWED FAILURES BEFORE ACCOUNT IS LOCKED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0166 - ACCOUNT LOCK POLICY: NUMBER OF SECONDS TO LOCK OUT AN ACCOUNT WHEN <LOCKOUT AFTER FAILURES> FAILURES IS EXCEEDED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0167 - ACCOUNT LOCK POLICY: NUMBER OF SECONDS IN WHICH <LOCKOUT AFTER FAILURES> FAILURES MUST OCCUR IN ORDER FOR ACCOUNT TO BE LOCKED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0168 - PASSWORD POLICY: NUMBER OF MONTHS AFTER WHICH CURRENT PASSWORD EXPIRES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0169 - CLEAR ALL POLICIES INFORMATION FIELDS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0170 - CLEAR ALL EXTERNAL IDP(S) INFORMATION FIELDS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0171 - UPDATE USER WITH A VALID PASSWORD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0172 - UPDATE USER WITH AN INVALID PASSWORD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0173 - USER MANAGEMENT SERVICE IS INTEGRATED WITH AUTHENTICATION SERVICES USING LDAPS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0174 - ADDING ROLES TO A LDAPS USER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0175 - DIFFERENT USERS MUST HAVE DIFFERENT EMAILS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
"GDP-STD-0176 - CREATE A USER WITH THE CHARACTER "" IN USERNAME";Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0177 - CREATE A USER WITHOUT PASSWORD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0178 - CREATE A NEW USER WITHOUT FAMILY NAME;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0179 - CREATE A NEW ROLE WITHOUT OPTIONAL INFORMATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0180 - LIST EXISTING PERMISSIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0181 - DELETE A USER VIA API;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0182 - DELETE A ROLE VIA API;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-1101 - LIST ALL DEPLOYED APPLICATIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1104 - VIEW SNAPSHOTS AND THEIR FIELDS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1105 - ACTIVATE A SNAPSHOT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1106 - REACTIVATE A SNAPSHOT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1107 - DISCARD A SNAPSHOT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1108 - SYSTEM SETTINGS ENTRIES SUPPORT INTERNALIZATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1109 - SYSTEM SETTINGS APPLICATION LOGS - CHANGES AND ACTIVATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1110 - SYSTEM SETTINGS APPLICATION LOGS - REACTIVATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1111 - INTEGER TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1112 - FLOAT TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1113 - BOOLEAN TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1114 - DATE TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1115 - STRING TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1116 - LIST OF STRINGS TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1117 - MAP OF STRINGS (KEYS AND VALUES) TYPE PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1118 - USER CANNOT CHANGE THE VALUE OF PARAMETER ABOVE THE MAXIMUM VALUE - INTEGER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1119 - USER CANNOT CHANGE THE VALUE OF PARAMETER BELOW THE MINIMUM VALUE - INTEGER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1120 - USER CANNOT CHANGE THE VALUE OF PARAMETER ABOVE THE MAXIMUM VALUE - FLOAT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1121 - USER CANNOT CHANGE THE VALUE OF PARAMETER BELOW THE MINIMUM VALUE - FLOAT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1122 - USER CANNOT CHANGE THE VALUE OF PARAMETER ABOVE THE MAXIMUM VALUE - DATE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1123 - USER CANNOT CHANGE THE VALUE OF PARAMETER BELOW THE MINIMUM VALUE - DATE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1124 - USER CANNOT CHANGE THE VALUE OF PARAMETER THAT DOES NOT RESPECT THE REGEX PATTERN - STRING;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1125 - USER CANNOT CHANGE THE VALUE OF PARAMETER THAT IS NOT IN THE ALLOWED SET OF VALUES - LIST OF STRINGS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
